PRODUCT_ID,PRODUCT_DESCRIPTION
1272,"Roomside Series, White, 50 CFM, No Cut- Roomside Installation Bathroom Fan with Light, ENERGY STAR, Bathroom Exhaust Fan"
1273,3/4 in. x 5-1/2 in. x 12 ft. Reversible Vinyl Cellular PVC Trim
1274,8 x 2 in. 2 Phillips Bugle Head Coarse Thread Drywall Screws 25 lb. bucket
1275,16 in. x 8 in. x 4 in. Concrete Block Solid Chkoff
1276,TP 3-1/8 in. x 5 in. 20-Gauge Galvanized Tie Plate
1277,1/2 in. x 5-1/2 in. Hot-Dipped Galvanized Steel Hex-Nut-Head Indoor/Outdoor Concrete Wedge Anchors (10-Pack)
1278,#9 x 1-1/4 in. Star Drive Serrated Head Cement Board Screws (185-Pack)
1279,FOAMULAR 1/4 in. x 4 ft. x 50 ft. R-1 Fanfold Underlayment Rigid Foam Board Insulation Sheathing
1280,1-1/2 in. x 10 ft. Copper Type L Hard Temper Straight Pipe
1281,6 in. White Aluminum K-Style Right End Cap
1282,"Decora 15 Amp Single Pole Dual Switch, White 5634-WS"
1283,50 lbs. 5000 PSI Concrete Mix
1284,Dusk Cherry 22 MIL x 8.7 in. W x 48 in. L Click Lock Waterproof Luxury Vinyl Plank Flooring (20.1 sqft/case)
1285,Strong-Drive 1-1/2 in. x 0.131 in. SCN Smooth-Shank HDG Connector Nail (750-Pack)
1286,Firecode X 5/8 in. x 4.5 ft. x 12 ft. Tapered Edge Gypsum Board
1287,R-38 Unfaced Fiberglass Insulation Batt 24 in. x 48 in. (1 Bag)
1288,"15 Amp 125 V Tamper Resistant Duplex Outlet/Receptacle, White (10-Pack) T5320-WMP"
1289,3.5 ft. x 12 ft. Canvas Drop Cloth
1290,2 in. x 12 in. x 16 ft. 2 Prime Ground Contact Pressure-Treated Lumber
1291,10 ft. Vinyl Corner Bead Drywall
1292,60-Watt Equivalent A19 Energy Efficient LED Light Bulb Soft White (4-Pack)
1293,Traditional/Williamsburg White Line Bracket Kit (4-Piece)
1294,5/8 in. x 20 ft.¬†#5¬†rebar
1295,6 in. x 6 in. x 16 ft. #2 Pressure-Treated Ground Contact Southern Line Timber Wood Post
1296,LedgerLOK Flat Head 5 in. Structural Wood Screw (50 Pack)
1297,4 in. x 4 in. x 8 in. Mill Finish Aluminum Pre-Bent Step Flashing
1298,2 in. x 6 in. x 16 ft. Kiln Dried Heat Treated Whitewood Dimensional Lumber
1299,Seal-A-Ridge Pewter Gray Hip and Ridge Cap Roofing Shingles (25 linear ft. per Bundle)
1300,4 in. x 10 ft. PVC Schedule 40 DWV Pipe
1301,1/2 in. x 4 ft. x 8 ft. UltraLight Imperial Gypsum Base
1302,6 x 1-1/4 in. 2 Phillips Bugle Head Coarse Thread Sharp Point Drywall Screws 25 lb. bucket
1303,10 x 2-1/2 in. Brown Star Pan-Head Composite Deck Screws (5 lbs. / 375-Piece)
1304,Corrugated 7/8 in. x 24 in. x 12 ft. 31-Gauge Galvanized Steel Roof Panel in Metallic
1305,3-1/4 in. x 0.120 in. 15 Wire Collated Exterior Galvanized Ring Shank Framing Nails 2500 per Box
1306,4 in. Hinged Louvered Vent Hood in White
1307,200 Amp Ringless-Horn Bypass 4 Jaw Overhead Meter Socket with CECHA Label
1308,Baja Beige 12 in. x 12 in. Matte Ceramic Floor and Wall Tile (15 sq. ft. /Case)
1309,2 in. Drive Pins with Washers (100-Pack)
1310,"R- 6.7 Multi-Purpose, Small Project Unfaced Fiberglass Insulation Roll 16 in. x 4 ft. (1-Pack)"
1311,3/4 in. PVC Adapter S x M Pro Pack (35-Pack)
1312,9 in. 4/6 TPI Demo Demon Bi-Metal Reciprocating Saw Blades for Nail-Embedded Wood Cutting (5-Pack)
1313,1 in. x 6 in. x 20 ft. Enhance Basics Clam Shell Grooved Edge Composite Deck Board
1314,20 ft. No-Dig Plastic Landscape Edging Kit
1315,Transcend 1 in. x 6 in. x 16 ft. Island Mist Grooved Edge Grey Composite Deck Board
1316,2 in. x 2 in. DWV Flexible PVC Coupling
1317,Transcend 4 in. x 4 in. Vintage Lantern Composite Post Cap - Brown
1318,FlashMate 10 oz. Clear Flashing Sealant
1319,18 in. H 36 in. W White Wood Picket Garden Fence
1320,1-1/2 in. PVC DWV Hub x Hub 90-Degree Long Sweep Fitting
1321,Greenwich 3-Piece Bathroom Kit in Satin Nickel
1322,4 in. Lead Roof Boot No Caulk Vent Pipe Flashing
1323,2 in. x 4 in. x 16 ft. 2 Prime Cedar-Tone Pine Pressure-Treated Lumber
1324,2 in. x 6 in. x 8 ft. 2 Premium Grade SPF Dimensional Lumber
1325,ProTRAK 25 3-5/8 in. x 10 ft. 25-Gauge EQ Galvanized Steel Track
1326,4 in. x 4 in. x 12 ft. 2 Ground Contact Cedar-Tone Pressure-Treated Timber
1327,2 in. x 8 in. x 20 ft. #1 Ground Contact Pressure Treated Pine Lumber
1328,Galvanized Steel Roof Cap with Built-In Damper for 3 in. or 4 in. Round Static Roof Vent Duct in Black
1329,"Hideaway 50 sq. ft.  Universal Hidden Deck Fasteners, Combo Pack with Start Clips, Black"
1330,Royal Sovereign Charcoal Algae Resistant 3-Tab Roofing Shingles (33.33 sq. ft. per. Bundle) (26-Pieces)
1331,4 in. ADS and Hancor to 4 in. Flexible PVC Coupling
1332,1/4 in. x 1-3/4 in. Hex-Washer-Head Concrete Anchors (225-Piece)
1333,2-1/2 in. x 10 ft. Metal Paper-Faced Super-Wide Drywall Corner Bead
1334,6 x 1-5/8 in. Phillips Bugle Head Coarse Thread Phosphate Drywall Screw 25 lbs.
1335,HeadLOK Structural Wood Screws - 6 inch flat head wood screws - Black (50 Pack)
1336,4 in. DWV J-Hook Pipe Hanger
1337,2 in. x 12 in. x 10 ft. #1 Cedar-Tone Ground Contact Pressure-Treated Lumber
1338,LUC ZMAX Galvanized Face-Mount Concealed-Flange Joist Hanger for 2x6 Nominal Lumber
1339,2 in. x 10 in. x 16 ft. 2 Premium Grade Southern Yellow Pine Dimensional Lumber
1340,ArmorGuard EDGE Hidden Deck Clip (90-Count)
1341,4 in. x 4 in. x 12 ft. 2 Pressure-Treated Ground Contact Southern Pine Timber
1342,1 in. x 8 in. x 8 ft. Common Board
1343,32 oz. Concrete Cleaner and Oil Stain Remover
1344,FOAMULAR NGX F-250 2 in. x 4 ft. x 8 ft. SSE R-10 XPS Rigid Foam Board Insulation
1345,3/4 in. x 10 ft. Black Steel Pipe
1346,"WeatherWatch 36 in. x 50 ft., 150 sq. ft. Mineral-Surfaced Peel and Stick Roof Leak Barrier Roll"
1347,2 in. x 10 in. x 12 ft. #2 Premium Grade Southern Yellow Pine Dimensional Lumber
1348,Kolasus White 12 in. x 24 in. Polished Porcelain Marble Look Floor and Wall Tile (16 sq. ft./Case)
1349,Vinyl Starter Strip (438401)
1350,"LP SmartSide 540 Series Cedar Texture Trim Engineered Treated Wood Siding, Application As 6 in. x 16 ft."
1351,VersaBond-LFT 50 lb. Gray Professional Medium Bed Large Format Tile Mortar
1352,3/4 in. x 10 ft. Rigid Metal Conduit
1353,3 in. DWV J-Hook Pipe Hanger
1354,500 ft. 12 Red Solid CU THHN Wire
1355,2 x 10 - 14 ft. HF¬†#2 Standard Grade Dimensional
1356,Modern Renewal Parchment 12 in. x 24 in. Glazed Porcelain Floor and Wall Tile (15.6 sq. ft./case)
1357,Chain Link Fence 1-3/8 in. Diameter x 10 ft. Long 17-Gauge Thick Galvanized Steel Top Rail Post
1358,3 ft. W x 100 ft. L X-Board Surface Protector Paper
1359,5/16 in. x 3-1/8 in. Star Drive Washer Head Rugged Structural Wood Screw (45-Pack)
1360,Hollis Round Rose Matte Black Privacy Bed/Bath Door Handle
1361,1-1/2 in. x 16 in. White Plastic Double Slip-Joint Sink Drain Tailpiece Extension Tube
1362,ScotchBlue 1.41 in. x 60 yds. PROSharp Painter's Tape (3 Rolls)
1363,10 x 3-1/2 in. Tan Torx Flat-Head Wood Deck Screw (5 lbs. / 280-Piece)
1364,80 lb. Stucco Finish Coat - White
1365,RR Galvanized Ridge Rafter Connector for 2x6 Nominal Lumber
1366,"Premium Series 6 in. LED, 2-Level Lumen Select, Ultraslim Canless Recessed Light, Adjustable CCT (4-Pack)"
1367,20 ft. x 100 ft. Black 6 mil Plastic Sheeting
1368,"ComfortBatt R15 3-1/2""x15-1/4""x47"" Unfaced Batt - Stone Wool Insulation 59.7 Sq Ft per Bag RXCB351525"
1369,9 x 2-1/2 in. 2 Phillips Bugle Head Coarse Thread Coated Exterior Wood Screws 5 lb. Box
1370,2 in. x 6 in. x 12 ft. 2 Prime Pressure-Treated Ground Contact Southern Pine Lumber
1371,2 in. x 6 in. x 8 ft. 2 Prime Cedar-Tone Pressure-Treated Ground Contact Southern Pine Lumber
1372,"Pro Select R-Matte Plus-3, 0.5 in. x 48 in. x 8 ft. R-3.2 ISO Rigid Foam Board Insulation"
1373,1 in. x 4 in. x 12 ft. Select Tight Knot S1S2E Kiln-Dried Cedar Board
1374,LUS ZMAX Galvanized Face-Mount Joist Hanger for Double 2x8 Nominal Lumber
1375,Propress 1/2 in. Press Copper Coupling No Stop (10-Pack)
1376,2 7/8 in. x 8 in. x 1 in. Fine Extra Large Angled Drywall Sanding Sponge
1377,Transformations Double 4 in. Lap 9.23 in. x 150 in. Khaki  Vinyl Siding Carton (24-Pieces)
1378,5 gal. 70mil Food Safe Bucket White
1379,2 in. x 6 in. x 12 ft. 2 Premium Grade SPF Dimensional Lumber
1380,1/2 in. x 10 ft. Rebar (427969)
1381,9 x 2 in. Red Torx Star Flat-Head Wood Deck Screw (1 lb. / 91-Piece)
1382,5.2mm - Sandeply Plywood (1/4 in. Category Common: 1/4 in. x 4 ft. x 8 ft.; Actual: 0.205 in. x 48 in. x 96 in.)
1383,3/10 HP Pre-Plumbed Submersible Sump Pump System
1384,3/4 in. x 10 ft. White PVC Schedule 40 Pressure Plain End Pipe
1385,DTT ZMAX Galvanized Deck Tension Tie for 2x Nominal Lumber with 1-1/2 in. SDS Screws
1386,2 in. x 10 in. x 8 ft. 2 Prime or Better Ground Contact Pressure-Treated Southern Yellow Pine Lumber
1387,5/4 in. x 6 ft. x 16 ft. LP SmartSide Expertfinish Siding Trim - Prefinished Snowscape White
1388,FOAMULAR NGX F-150 1 in. x 4 ft. x 8 ft. SSE R-5 XPS Rigid Foam Board Insulation
1389,1 in. x 10 ft. Copper Type L Hard Temper Straight Pipe
1390,4 in. x 4 in. x 6 ft. White Vinyl Square Fence Post
1391,Raceway 24 in. 4-Light Brushed Nickel Retro Vanity Light
1392,4.5 gal. Plus 3 Ready-Mixed Joint Compound
1393,72 in. Aluminum Adjustable Tension Shower Curtain Rod in Chrome
1394,20 in. x 50 ft. Aluminum Roll Valley Flashing
1395,"32 in. Polypropylene Folding Sawhorse with Adjustable Heavy Duty Metal Legs, 3000 lbs. Capacity, and Under Storage Space"
1396,4 in. x 4 in. Black Metal Post Cap
1397,EcoSmart Firecode 30 5/8 in. x 4 ft. x 8 ft. Tapered Edge Gypsum Board
1398,"Commercial Electric 6 in. LED White Round Recessed Lighting Trim and Shallow Housing Kit Selectable CCT, 4-Pack"
1399,2 in. x 6 in. x 12 ft. 2 Prime Ground Contact Pressure-Treated Southern Yellow Pine Lumber
1400,Sterling Oak 6 MIL x 8.7 in. W x 48 in. L Click Lock Waterproof Luxury Vinyl Plank Flooring (20.1 sqft/case)
1401,1-1/4 in. x 10 ft. Copper Type L Hard Temper Straight Pipe
1402,42 Gal. Contractor Bags (50-Count)
1403,4.5 Gal. All-Purpose Pre-Mixed Joint Compound
1404,32 in. x 80 in. 6 Panel Colonist Primed Left-Hand Textured Solid Core Molded Composite MDF Single Prehung interior Door
1405,5/8 in. x 4 ft. x 8 ft. EdgeGuard Cement Board
1406,Hideaway Toilet Brush and Holder (1-Pack)
1407,Transcend 4 in. x 4 in. Classic White Composite Post Sleeve Skirt
1408,Seal-A-Ridge Slate Hip and Ridge Cap Roofing Shingles (25 lin. ft. per Bundle) (45-Pieces)
1409,#6 x 1-5/8 in. #2 Phillips Bugle Head Coarse Thread Sharp Point Drywall Screws 25 lb. bucket
1410,2 in. x 12 in. x 8 ft. #2 Prime Ground Contact Pressure-Treated Lumber
1411,1-1/4 in. x 8 ft. 103 Deluxe Metal Corner Bead
1412,ProSTUD 25 3-5/8 in. x 10 ft. 25-Gauge EQ Galvanized Steel Wall Framing Stud
1413,3/8 in - 3/4 in. PEX-B Stub-Out Bend Support Bar
1414,2 in. x 4 in. x 104-5/8 in. Premium Kiln-Dried Fir Framing Lumber
1415,#6 x 1-1/4 in. #2 Phillips Bugle Head Coarse Thread Sharp Point Drywall Screws 5 lb. Box
1416,3 in. x 0.131 in. 30¬? Paper Collated Bright Coated Smooth Shank Offset Round Head Nails 4000 per Box
1417,Courtland 3 in. W x 30 in. H Cabinet Filler in Polar White
1418,25 lb. Durabond 45 Setting-Type Joint Compound (46
1419,"Dynaflex 230 10.1 oz. White Premium Elastomeric Exterior/Interior Window, Door and Trim Sealant"
1420,"Adjust-a-Gate 36-72 in. W x 45 in. H Steel Gate Frame Kit, Original Medium Width Full Frame Gate Kit"
1421,R-19 Unfaced Fiberglass Insulation Batt 15 in. x 93 in. (1 Bag)
1422,"DYNAFLEX Ultra 10.1 oz. Gray Advanced Exterior Window, Door, and Siding Sealant"
1423,1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connector (50-Pack)
1424,6 1 in. ProFit Phillips Bugle-Head Fine Thread Drywall Screws (25 lbs. - 8225 Pack)
1425,1 in. x 4 in. x 8 ft. Ground Contact Pressure-Treated Board
1426,1/2 in. Nominal Compression Inlet x 3/8 in. O.D. Compression Outlet Multi-Turn Chrome Plated Angle Valve
1427,ProTRAK 20 3-5/8 in. x 10 ft. 20-Gauge EQ Galvanized Steel Track
1428,4 in. x 4 in. x 6 ft. #2 Ground Contact Cedar-Tone Pressure-Treated Timber
1429,1 in. x 4 in. x 12 ft. Premium Kiln-Dried Square Edge Common Softwood Boards
1430,Bi-Metal Reciprocating Saw Blade Set (14-Piece)
1431,1/2 in. Electrical Metallic Tube (EMT) Set-Screw Coupling (50-Pack)
1432,#6 x 1 in. #2 Phillips Bugle Head Coarse Thread Drywall Screws 1 lb. Box
1433,12 ft. Birch White Aluminum Reversible Frieze Runner
1434,R-13 Unfaced Fiberglass Insulation Batt 15 in. x 93 in. (1 Bag)
1435,6 in. x 6 in. x 10 ft. #2 Pressure-Treated Ground Contact Southern Pine Timber Wood Post
1436,Courtland 15 in. W x 24 in. D x 34.5 in. H Assembled Shaker Base Kitchen Cabinet in Polar White
1437,1/2 in. x 5-1/2 in. Hot-Dipped Galvanized Steel Hex-Nut-Head Indoor/Outdoor Wedge Anchor
1438,Enhance Naturals 1 in. x 6 in. x 12 ft. Foggy Wharf Grooved Edge Composite Deck Board
1439,Elmbrook 12 in. Rough In 2-Piece 1.28 GFP Single Flush Elongated Chair Height Toilet in White with Soft Close Seat
1440,ProSTUD 20 3-5/8 in. x 10 ft. 20-Gauge EQ Galvanized Steel Wall Framing Stud
1441,9 x 3 in. Black Exterior Self-Starting Torx Drive Flat-Head Deck Screw (5 lbs. / 365-Piece)
1442,500 ft. 12 Gauge White Stranded Copper THHN Wire
1443,LUS ZMAX Galvanized Face-Mount Joist Hanger for 2x8 Nominal Lumber
1444,ProTRAK 25 1-1/4 in. x 3-5/8 in. x 10 ft. Galvanized Steel Track
1445,1 in. x 48 in. x 8 ft. R-3.85 Insulating Sheathing
1446,0.27 Steel & Concrete Strip/Single-Use Load/Booster Caliber Yellow Strip Loads (100-Count)
1447,5/4 in. x 6 in. x 12 ft. Premium Kiln Dried Cedar Decking Board
1448,3/16 in. x 1-3/4 in. Star Flat-Head Concrete Anchors (25-Piece)
1449,3/4 in. x 10 ft. Copper Type L Hard Temper Straight Pipe
1450,5-1/4 in. Plastic Post &amp; Pipe Multi Level
1451,ABA ZMAX Galvanized Adjustable Standoff Post Base for 6x6 Nominal Lumber
1452,4-Step Ground Contact Pressure-Treated Pine Stair Stringer
1453,3/4 in. x 10 ft. Gray Non-Metallic PVC Schedule 40-Conduit
1454,1-3/4 in. x 11-Gauge Electrogalvanized Flat Head Smooth Shank Roofing Nails 5 lb. Box
1455,100 Amp 240-V 2-Pole Fusible Indoor General Duty VBII Safety Switch with Neutral
1456,8 x 2-1/2 in. 2 Phillips Bugle Head Coarse Thread Drywall Screw 5 lb. Box
1457,4 in. x 4 in. x 10 ft. #2 Pressure-Treated Ground Contact Southern Pine Wood Post
1458,1 in. x 4 in. x 8 ft. Radiata Pine Finger Joint Primed Board
1459,QUIK-TUBE 12 in. x 48 in. Building Form Tube
1460,ArmorGuard 15/16 in. x 5-1/4 in. x 20 ft. Coastal Gray Square Edge Capped Composite Decking Board
1461,2 in. x 10 in. x 8 ft. 2 Prime Cedar-Tone Ground Contact Pressure-Treated Southern Yellow Pine Lumber
1462,"1x6-20' Trex Transcend Lineage Composite Deck Board - Biscayne Grooved Edge (Actual Size: .94""x5-1/2"") BC010620TLG01"
1463,4 in.x 3/8 in.High-Capacity Polyester Knit Mini Paint Roller (6-Pack)
1464,2 in. x 10 in. x 28 ft. GDF #2 Standard Grade Dimensional Lumber
1465,Timberline Natural Shadow Weathered Wood Algae Resistant Architectural Shingles (33.3 sq. ft. per Bundle)
1466,2 in. x 6 in. x 8 ft. #2 Prime Cedar-Tone Pressure-Treated Ground Contact Southern Pine Lumber
1467,"""39-3/8""""x34' GAF Liberty Asphaltic SBS Cap Sheet - Self-Adhering Black 1 Sq 3732100 ASTM D 6164 Type I"""
1468,Enhance Naturals 1 in. x 12 in. x 12 ft. Rocky Harbor Composite Deck Fascia Board
1469,1-1/4 in. x 8 ft. Galvanized Corner Bead
1470,5/8 in. x 4 ft. x 8 ft. Firecode X Drywall
1471,8 x 3 in. 2 Phillips Bugle Head Coarse Thread Gold Screws 5 lb. Box
1472,2 in. x 1 1/2 in. x 2 in. DWV PVC Sanitary Tee Reducing Fitting
1473,10in. x 72-Teeth TrexBlade Circular Saw Blade for Composites and Plastic
1474,3 in. x 0.120 in. 21 Plastic Collated Bright Coated Smooth Shank Framing Nails 1000 per Box
1475,SN Series 100 Amp 20-Space 20-Circuit Main Breaker Plug-On Neutral Load Center Value Pack
1476,Holland 7.87 in. x 3.94 in. x 1.77 in. River Red Concrete Paver
1477,9 x 3 in. Green Exterior Self-Starting Torx Flat-Head Wood Deck Screws (25 lb./1543-Piece)
1478,"Traditional 6 ft. x 36 in. (Actual Size: 67-3/4 x 33 1/4"" in.) White PolyComposite Vinyl Stair Rail Kit without Brackets"
1479,H2.5A 18-Gauge ZMAX Galvanized Hurricane Tie
1480,Linden 57.5 in. White Fast Pack Infills (15-Piece)
1481,9 x 2-1/2 in. Star Drive Dual Flat Head Coarse Thread Construction Screws 1 lb. Box
1482,1 in. x 3 in. x 16 ft. Primed Pine Finger-Joint Board
1483,1-Gang White Duplex Outlet/Receptacle Nylon Midway/Midsize Wall Plate (10-Pack) PJ8-WM
1484,5/4 in. x 6 in. x 16 ft. Standard Ground Contact Pressure-Treated Southern Yellow Pine Decking Board
1485,15/32 in. x 4 ft. x 8 ft. 3-Ply RTD Sheathing
1486,Liberty 3 ft. x 66 ft. (200 sq. ft.) SBS Self-Adhering Base Sheet for Low Slope Roofs
1487,Transcend 1 in. x 6 in. x 12 ft. Island Mist Grooved Edge Composite Deck Board
1488,3/16 in. x 2-1/4 in. Star Flat-Head Concrete Anchors (25-Piece)
1489,2 in. x 4 in. x 12 ft. 2 Standard Grade SPF Dimensional Lumber
1490,"LP SmartSide 540 Series Cedar Texture Trim Engineered Treated Wood Siding, Application As 4 in. x 16 ft."
1491,1/2 in. x 4 ft. x 8 ft. UltraLight Mold Tough Drywall
1492,1 in. x 2 in. x 8 ft. Furring Strip Board
1493,1/2 in. x 10 ft. 4 Rebar
1494,3 in. x 3 in. x 2 in. DWV PVC Wye Reducing
1495,14 in. x 14 in. Adjustable Spring Loaded Plastic Access Panel
1496,2 in. x 10 in. x 10 ft. 2 Prime Pressure-Treated Ground Contact Southern Pine Lumber
1497,7/16 in. x 4 ft. x 10 ft. OSB TallWall Sheathing
1498,Timberline HDZ Slate Algae Resistant Laminated High Definition Shingles (33.33 sq. ft. per Bundle)
1499,3/8 in. x 4 ft. x 8 ft. Regular Drywall Panel
1500,3 in. DWV PVC Sanitary Tee
1501,Gypsum Backer Board 1/2 in. x 2.7 ft. x 5 ft. Tile Backer
1502,"TAC 300 LED Tactical Metal Flashlight, 300 Lumens"
1503,ProSTUD 20 6 in. x 12 ft. 20-Gauge EQ Galvanized Steel Wall
1504,10 ft. Galvanized Steel Corner Bead
1505,Enhance Naturals 1 in. x 6 in. x 12 ft. Foggy Wharf Grooved Edge Grey Composite Deck Board
1506,R- 13 Faced Fiberglass Insulation Roll 15 in. x 32 ft. (1 Roll)
1507,6 ft. x 50 ft. 11.5- Gauge Galvanized Steel Chain Link Fence Fabric
1508,1-5/32 in. x 6 in. x 10 ft. Above Ground Pressure-Treated Ponderosa Pine Thick-Deck Decking Board
1509,5/4 in. x 6 in. x 12 ft. Standard Ground Contact Pressure-Treated Pine Decking Board
1510,9 ft. x 150 ft. Woven Housewrap (1000001507)
1511,1/2 in. Brass PEX-B Barb x 1/2 in. Female Pipe Thread Adapter 90-Degree Drop-Ear Elbow
1512,5/4 in. x 6 in. x 8 ft. Premium Ground Contact Cedar-Tone Pressure-Treated Lumber
1513,#9 x 3 in. Black Exterior Self-Starting Star Drive Flat Head Deck Screw (1 lb. / 73-Piece)
1514,1-5/8 in. x 16-1/2-Gauge White Ring Shank Panel Board Nails 6 oz. Box
1515,2 in. x 6 in. x 10 ft. 2 Prime Cedar-Tone Pressure-Treated Ground Contact Southern Pine Lumber
1516,1/2 in. Brass PEX-B Barb Ball Valve
1517,"#10 x 1-1/2 in. 1/4-Hex Drive, Strong-Drive SD Connector Screw (100-Pack)"
1518,Courtland 30 in. W x 24 in. D x 34.5 in. H Assembled Shaker Base Kitchen Cabinet in Polar White
1519,Courtland 18 in. W x 24 in. D x 90 in. H Assembled Shaker Pantry Kitchen Cabinet in Polar White
1520,Heavy Duty 1-1/2 in to 1-1/4 in. Plastic Adjustable Diameter P-Trap with Reducing Washer
1521,STORE+ 30 in. W x 59.25 in. H Three Piece Direct-to-Stud Tub Alcove Wall Surround in White
1522,FibaTape Perfect Finish 1-7/8 in. x 300 ft. Self-Adhesive Mesh Drywall Joint Tape
1523,Transcend 1 in. x 5 in. Composite Decking Board
1524,2 in. x 4 in. x 104-5/8 in. Prime Kiln-Dried Whitewood Stud
1525,Seal-A-Ridge Charcoal Hip and Ridge Cap Roofing Shingles (25 lin. ft. per Bundle) (45-Pieces)
1526,"Metro Gris Matte Smooth Gray Stone Look Porcelain Rectangle Tile 12 in. x 24 in., Floor and Wall (16 sq. ft./Case)"
1527,3-5/8 in. x 10 ft. 20-Gauge Galvanized Steel Drywall Track
1528,67/100 ft. 16-Gauge Rebar Tie Wire (100-Piece/Bag)
1529,Royal Sovereign Charcoal 3-Tab Metric Roofing Shingles (33.33 sq. ft. Per Bundle) (21-pieces)
1530,Collated Cortex Hidden Fastening System for Veranda Decking - 2-1/2 in. Cortex screws and plugs in Stone Gray (50 LF)
1531,2 in. x 2 in. x 8 ft. Furring Strip Board
1532,PSCL 7/16 in. 20-Gauge Galvanized Panel Sheathing Clip (250-Qty)
1533,2 in. DWV PVC Sanitary Tee
1534,50 lbs. Waterproofing Mortar
1535,2 in. x 8 in. x 16 ft. 2 Prime Cedar-Tone Ground Contact Pressure-Treated Southern Yellow Pine Lumber
1536,"2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White, Seat Included"
1537,2.47 in. x 10 ft. Brown Galvanized Steel Roof Apron Flashing
1538,Heritage Rustic Black Architectural Shingles (Average 32.8 sq. ft. Per Bundle)
1539,ProPress 3/4 in. x 1/2 in. Press Copper Reducer
1540,"2 in. x 0.113-Gauge 30-Degree Galvanized Ring Shank Paper Tape Framing Nails (2,000 per Box)"
1541,3 in. x 0.120 in. 21¬? Plastic Collated Exterior Galvanized Ring Shank Framing Nails 4000 per Box
1542,2 in. DWV J-Hook Pipe Hanger
1543,1 in. x 12 in. x 12 ft. Enhance Naturals Toasted Sand Square Edge Composite Fascia (Actual Size: 56 in. x 11-3/8 in.)
1544,Glenwood Fog 7 in. x 20 in. Ceramic Floor and Wall Tile (10.89 sq. ft. / case)
1545,1 in. x 8 in. x 12 ft. Common Board
1546,1/2 in. x 20 ft. #4 Rebar
1547,"Decora 20 Amp 125 V Tamper Resistant Duplex Outlet/Receptacle, White (10-Pack) T5825-WMP"
1548,5/8 in. x 4 ft. x 12 ft. EcoSmart Firecode X Drywall
1549,1/2 in. x 4 ft. x 9 ft. UltraLight Drywall
1550,Pro-Start 120 lin. ft. Eave and Rake Roofing Starter Strip Shingles
1551,Seal-A-Ridge Barkwood Hip and Ridge Cap Roofing Shingles (25 lin. ft. per Bundle) (45-pieces)
1552,3-1/2 in. x 8-Gauge 16-penny Exterior Galvanized Steel Common Nails 5 lb. Box
1553,Select 1 in. x 6 in. x 20 ft. Square Pebble Grey Composite Decking Board
1554,1-Gang 4 in. New Work Metal Electrical Wall Box with Ground Bump (521511234GB-50R)
1555,0.09 in. x 8 in. x 12.5 ft. White Vinyl Fascia
1556,30-Watt/120-Volt Corded Soldering Iron Kit with LED Halo Ring
1557,Courtland 1.5 in. W x 96 in. H Refrigerator End Panel in Polar White
1558,12 oz. Semi-Gloss Black General Purpose Spray Paint
1559,0.5 cu. ft. All Purpose Stone
1560,1/2 in. x 4 ft. x 14 ft. UltraLight Drywall
1561,0.5 cu. ft. Step 1 Patio Paver Base
1562,Flex Tape White 4 in. x 5 ft. Strong Rubberized Waterproof Tape
1563,3.5 gal. Dust Control Ready-Mixed Joint Compound
1564,ProPress 3/4 in. Press Copper 45 Elbow
1565,500 ft. 14 Gauge White Stranded Copper THHN Wire
1566,2 in. x 12 in. x 16 ft. Prime Ground Contact Pressure-Treated Lumber
1567,50 lbs. Q-Max Pro Concrete Mix
1568,2 in. x 4 in. x 14 ft. #2 Standard Grade SPF Dimensional Lumber
1569,80 lb. Concrete Mix
1570,2 in. x 8 in. x 8 ft. #2 Premium Grade Southern Yellow Pine Dimensional Lumber
1571,R- 15 Faced Fiberglass Insulation Roll 15 in. x 24 ft. (1 Roll)
1572,2 in. x 12 in. x 16 ft. 2 Premium Grade Southern Yellow Pine Dimensional Lumber
1573,ABA ZMAX Galvanized Adjustable Standoff Post Base for 6x6 Actual Rough Lumber
1574,Subfloor and Deck 28 oz. Tan Low VOC Construction Adhesive
1575,2 in. x 12 in. x 12 ft. #1 Ground Contact Pressure-Treated Lumber
1576,9 x 3 in. Tan Self-Starting Torx Flat-Head Exterior Wood Deck Screws (25 lb./1543-Piece)
1577,VersaBond 50 lb. White Professional Polymer-Modified Thinset Mortar
1578,4 in. Square Metal Box 1/2 in. and 3/4 in. Knockouts (521511234EW-50R)
1579,"15/16 in. x 4 ft. Ceiling Grid Firecode Cross Tee, Case of 60"
1580,12 in. x 12 in. x 1.5 in. Pewter Square Concrete Step Stone
1581,"1x6-20' Trex Enhance Basics Composite Deck Board - Clam Shell Square Edge (Actual Size: .94""x5-1/2"") CS010620E2S01"
1582,125 ft. 6/3 Black Stranded Romex SIMpull CU NM-B W/G Wire
1583,2 in. x 1-1/2 in. x 1-3/8 in. ZMAX Galvanized Angle
1584,Used Railroad Tie-Cresote Treated (Common: 7 in. x 9 in. x 8 ft.; Actual: 96 in.)
1585,Cobra Ridge Runner 11.5 in. x 30 ft. Black Filtered Plastic Roll Ridge Vent
1586,208 Wet Patch Black Roof Leak Repair Sealant 3.3 gal.
